#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
94000	47.00000000004239	-9669.662603332712	2384.8231879727587	-7284.839415359953	296.4633603906827	6.476460544000001	1.0033555317817326	24.8	23:57:17
96000	48.000000000047166	-9694.47608560005	2306.416983493262	-7388.0591021067885	286.7164881811626	6.476460544000001	1.0033555317817326	24.7	23:57:13
98000	49.00000000005194	-9756.155082162326	2451.4223921253497	-7304.732690036976	304.7424747342521	6.476460544000001	1.0033555317817326	24.7	23:57:10
100000	50.000000000056716	-9649.613486395629	2463.1419577722613	-7186.471528623368	306.1993633755253	6.476460544000001	1.0033555317817326	24.7	23:57:06
102000	51.00000000006149	-9670.870130305299	2368.8872622643967	-7301.982868040902	294.4823254400567	6.476460544000001	1.0033555317817326	24.7	23:57:02
104000	52.000000000066265	-9427.389954534967	2486.7931304636904	-6940.596824071276	309.13950005678674	6.476460544000001	1.0033555317817326	24.7	23:56:59
106000	53.00000000007104	-9439.125097435212	2458.4987340723824	-6980.62636336283	305.62215257513816	6.476460544000001	1.0033555317817326	24.7	23:56:55
108000	54.000000000075815	-9568.888431140145	2396.7003235607012	-7172.1881075794445	297.9398369470895	6.476460544000001	1.0033555317817326	24.7	23:56:52
110000	55.00000000008059	-9662.896266367605	2289.746689124865	-7373.14957724274	284.6441620179145	6.476460544000001	1.0033555317817326	24.7	23:56:49
112000	56.000000000085365	-9793.888939854323	2308.321922510768	-7485.567017343556	286.95329593501094	6.476460544000001	1.0033555317817326	24.7	23:56:45
114000	57.00000000009014	-9637.290117203866	2396.5286564287508	-7240.761460775115	297.9184965747452	6.476460544000001	1.0033555317817326	24.7	23:56:42
116000	58.000000000094914	-9624.607023539173	2344.515206830177	-7280.091816708996	291.4525740144179	6.476460544000001	1.0033555317817326	24.7	23:56:38
118000	59.00000000009969	-9581.472213026625	2275.0495189956787	-7306.422694030947	282.8171198846836	6.476460544000001	1.0033555317817326	24.7	23:56:34
120000	60.000000000104464	-9659.625082633194	2441.8328447387416	-7217.792237894453	303.55037401282453	6.476460544000001	1.0033555317817326	24.7	23:56:31
122000	61.00000000010924	-9569.440370338187	2453.412637487574	-7116.027732850613	304.98988713407385	6.476460544000001	1.0033555317817326	24.7	23:56:27
124000	62.000000000114014	-9534.268893645241	2359.068868252288	-7175.200025392953	293.2617762198255	6.476460544000001	1.0033555317817326	24.7	23:56:24
126000	63.00000000011879	-9433.122930037774	2417.89294665061	-7015.229983387164	300.5743451523155	6.476460544000001	1.0033555317817326	24.7	23:56:21
128000	64.00000000012356	-9538.510065965935	2432.284815681267	-7106.225250284668	302.363434539172	6.476460544000001	1.0033555317817326	24.7	23:56:17
130000	65.00000000012834	-9502.855271734239	2408.3547022676717	-7094.500569466567	299.38862203613047	6.476460544000001	1.0033555317817326	24.7	23:56:14
132000	66.00000000013311	-9373.6531158765	2396.1096634796463	-6977.543452396852	297.86641050886914	6.476460544000001	1.0033555317817326	24.7	23:56:10
134000	67.00000000013789	-9475.682484277566	2392.1511825709913	-7083.531301706575	297.3743218047083	6.476460544000001	1.0033555317817326	24.7	23:56:06
136000	68.00000000014266	-9510.975052887447	2405.566045377372	-7105.409007510074	299.0419570939057	6.476460544000001	1.0033555317817326	24.7	23:56:03
138000	69.00000000014744	-9570.20491436746	2529.523674317759	-7040.6812400497	314.4514412883994	6.476460544000001	1.0033555317817326	24.7	23:56:00
140000	70.00000000015221	-9720.651476147323	2417.3792706986947	-7303.272205448628	300.5104888045474	6.476460544000001	1.0033555317817326	24.7	23:55:56
142000	71.00000000015699	-9820.643245741307	2509.4626250846813	-7311.180620656625	311.95760187145856	6.476460544000001	1.0033555317817326	24.7	23:55:53
144000	72.00000000016176	-9631.764678619278	2411.3608456040092	-7220.403833015269	299.7623232647169	6.476460544000001	1.0033555317817326	24.7	23:55:49
146000	73.00000000016654	-9628.90961976731	2451.643945097774	-7177.265674669536	304.77001654072257	6.476460544000001	1.0033555317817326	24.7	23:55:45
148000	74.00000000017131	-9594.941311608123	2501.972687498599	-7092.968624109524	311.02650891786567	6.476460544000001	1.0033555317817326	24.7	23:55:42
150000	75.00000000017609	-9402.738225303827	2358.028470748549	-7044.709754555278	293.1324417929983	6.476460544000001	1.0033555317817326	24.7	23:55:38
152000	76.00000000018086	-9523.402814897654	2442.379785663583	-7081.023029234071	303.6183656129278	6.476460544000001	1.0033555317817326	24.7	23:55:35
154000	77.00000000018564	-9483.890128269806	2553.4851380154014	-6930.404990254405	317.4301510239925	6.476460544000001	1.0033555317817326	24.7	23:55:32
156000	78.00000000019041	-9569.09890136225	2422.3951046983766	-7146.703796663873	301.13401972717804	6.476460544000001	1.0033555317817326	24.7	23:55:28
158000	79.00000000019519	-9613.721605766486	2455.0077996018476	-7158.713806164638	305.1881857430234	6.476460544000001	1.0033555317817326	24.7	23:55:25
