#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
38000	19.00000000000107	-20099.92309622269	5242.394217601719	-14857.528878620971	298.96401072229867	15.625	0.9061209389598979	19.1	23:58:35
40000	19.99999999999874	-20131.356321994066	5422.635555544914	-14708.720766449153	309.24283964144513	15.625	0.9061209389598979	19.1	23:58:30
42000	20.999999999996408	-20017.45700431683	5306.2277719568065	-14711.229232360025	302.6043198323197	15.625	0.9061209389598979	19.1	23:58:26
44000	21.999999999994078	-19778.14498372042	5414.787016132965	-14363.357967587455	308.795252008102	15.625	0.9061209389598979	19.1	23:58:21
46000	22.999999999991747	-19711.4044532042	5353.1934464834385	-14358.211006720761	305.2826850677337	15.625	0.9061209389598979	19.1	23:58:16
48000	23.999999999989416	-19720.603098201773	5184.098071322208	-14536.505026879564	295.6394897156832	15.625	0.9061209389598979	19.1	23:58:12
50000	24.999999999987086	-19918.924681477394	5112.772704185138	-14806.151977292257	291.57193642983094	15.625	0.9061209389598979	19	23:58:07
52000	25.999999999984755	-19965.815903031813	5380.846346410408	-14584.969556621405	306.85967861822087	15.625	0.9061209389598979	19	23:58:03
54000	26.999999999982425	-19973.080463054015	5286.680256697162	-14686.400206356853	301.4895613233054	15.625	0.9061209389598979	19	23:57:58
56000	27.999999999980094	-19893.014376949137	5222.278216634035	-14670.736160315102	297.8168325286405	15.625	0.9061209389598979	19	23:57:53
58000	28.999999999977764	-19681.858639497437	5025.0761706293515	-14656.782468868085	286.57076591307515	15.625	0.9061209389598979	18.9	23:57:49
60000	29.999999999975433	-20118.487292199232	5218.079672932712	-14900.40761926652	297.5773973751517	15.625	0.9061209389598979	18.9	23:57:44
62000	30.999999999973102	-20250.51076844728	5275.537979395466	-14974.972789051812	300.85413793230776	15.625	0.9061209389598979	18.9	23:57:39
64000	31.999999999970772	-20015.58554810102	5200.411096178597	-14815.174451922421	296.5697912412159	15.625	0.9061209389598979	18.9	23:57:35
66000	32.99999999997554	-20148.545981188905	5192.742599929108	-14955.803381259797	296.132471135212	15.625	0.9061209389598979	18.9	23:57:30
68000	33.99999999998032	-20327.69509959868	5257.241165952135	-15070.453933646546	299.8107046261879	15.625	0.9061209389598979	18.9	23:57:25
70000	34.99999999998509	-20326.226705324127	5175.940900195947	-15150.28580512818	295.17430138858884	15.625	0.9061209389598979	18.9	23:57:21
72000	35.99999999998987	-20151.661918185357	5253.144238376837	-14898.51767980852	299.5770644517353	15.625	0.9061209389598979	18.9	23:57:16
74000	36.99999999999464	-20085.145262935035	5441.8994785592695	-14643.245784375766	310.3414254111456	15.625	0.9061209389598979	18.9	23:57:12
76000	37.99999999999942	-20195.197037859358	5483.032168624942	-14712.164869234417	312.68714637057707	15.625	0.9061209389598979	18.9	23:57:07
78000	39.00000000000419	-19850.04010277591	5180.382694662483	-14669.657408113428	295.4276086816691	15.625	0.9061209389598979	18.9	23:57:03
80000	40.00000000000897	-20192.69262021739	5471.151544068482	-14721.541076148907	312.00961640624143	15.625	0.9061209389598979	18.9	23:56:58
82000	41.00000000001374	-19910.830818128565	5203.835781805687	-14706.995036322878	296.7650947052515	15.625	0.9061209389598979	18.9	23:56:54
84000	42.00000000001852	-19807.00071381007	5295.674518842672	-14511.326194967398	302.0024873973273	15.625	0.9061209389598979	18.9	23:56:49
86000	43.00000000002329	-19744.410122330566	5235.0233638642685	-14509.386758466298	298.5436646162396	15.625	0.9061209389598979	18.9	23:56:44
88000	44.000000000028066	-19975.27543229191	5191.428106011308	-14783.847326280602	296.05750798718765	15.625	0.9061209389598979	18.9	23:56:40
90000	45.00000000003284	-20103.219955240173	5198.312285252721	-14904.907669987451	296.4500999501564	15.625	0.9061209389598979	18.9	23:56:35
92000	46.000000000037616	-19974.089900006293	5188.498059916713	-14785.591840089579	295.8904128974861	15.625	0.9061209389598979	18.9	23:56:31
94000	47.00000000004239	-20027.922805454906	5418.934982678333	-14608.987822776573	309.03180284027354	15.625	0.9061209389598979	18.9	23:56:26
96000	48.000000000047166	-19863.955852661577	5195.6697916747125	-14668.286060986864	296.29940344668915	15.625	0.9061209389598979	18.9	23:56:22
98000	49.00000000005194	-20197.074245323332	5385.720636719793	-14811.353608603538	307.1376503463725	15.625	0.9061209389598979	18.9	23:56:17
100000	50.000000000056716	-19772.701757098406	5263.0471222306005	-14509.654634867806	300.14180753509544	15.625	0.9061209389598979	18.9	23:56:12
102000	51.00000000006149	-19998.35610056746	5292.9713100862755	-14705.384790481185	301.84832841994273	15.625	0.9061209389598979	18.9	23:56:08
104000	52.000000000066265	-20101.311560365073	5313.154442760436	-14788.157117604638	302.99933501020405	15.625	0.9061209389598979	18.9	23:56:03
106000	53.00000000007104	-20165.97695456054	5239.764880532517	-14926.212074028024	298.81406451010616	15.625	0.9061209389598979	18.9	23:55:59
108000	54.000000000075815	-19811.480447797494	5219.221012524041	-14592.259435273452	297.6424858533653	15.625	0.9061209389598979	18.9	23:55:54
110000	55.00000000008059	-19831.75125351844	5491.279756133491	-14340.471497384948	313.1574909761125	15.625	0.9061209389598979	18.9	23:55:49
112000	56.000000000085365	-19735.726206431053	5115.769393293717	-14619.956813137334	291.74283204691	15.625	0.9061209389598979	18.9	23:55:45
114000	57.00000000009014	-19832.657320290764	5128.734357843807	-14703.922962446957	292.4821999082114	15.625	0.9061209389598979	18.9	23:55:40
116000	58.000000000094914	-20078.38074191986	5234.741140248091	-14843.63960167177	298.52756992730343	15.625	0.9061209389598979	18.9	23:55:35
118000	59.00000000009969	-19984.343110949165	5231.318082144301	-14753.025028804863	298.3323592779005	15.625	0.9061209389598979	18.9	23:55:31
120000	60.000000000104464	-19844.238211958433	5330.301864030827	-14513.936347927605	303.9772206143291	15.625	0.9061209389598979	18.9	23:55:26
122000	61.00000000010924	-19968.396410605284	5193.867681232964	-14774.52872937232	296.19663243347145	15.625	0.9061209389598979	18.9	23:55:22
